page	status	content_type	title	description	keywords	canonical_count	hreflang_count	meta_robots	h1_count	h2_count	img_total	img_alt_nonempty	img_alt_empty	img_alt_missing	jsonld_count	internal_links	external_links
root	200	text/html; charset=utf-8	亚孖酷奇-小红书营销全链路服务	亚孖酷奇-小红书营销全链路服务	亚孖酷奇-小红书营销全链路服务	0	0		0	8	33	6	20	7	0	1	1
en	200	text/html; charset=utf-8	亚孖酷奇-小红书营销全链路服务	亚孖酷奇-小红书营销全链路服务	亚孖酷奇-小红书营销全链路服务	0	0		0	8	33	6	20	7	0	1	1
tw	200	text/html; charset=utf-8	亚孖酷奇-小红书营销全链路服务	亚孖酷奇-小红书营销全链路服务	亚孖酷奇-小红书营销全链路服务	0	0		0	8	33	6	20	7	0	1	1

resource	status	content_type
robots	404	text/plain
sitemap	404	text/html; charset=utf-8
